location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"339 Swanston Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140641191,"716/339 Swanston Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/5c1ec3c0645cd93c2c949404ffb0f755b7716e5f19c0895a8ed078111587345d/image.jpg,Apartment,-37.810266,144.963927,"(144.963927, -37.810266)",307500,buy,"$300,000 - $315,000"
" 618 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140640731,"1609 / 618 Lonsdale Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/a7b71ff1966c66d01aa931e5072551b9dea8c9dd1747efebb6968b35766c5da6/image.jpg,Apartment,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",415000,buy,"$400,000 - $430,000"
"181 Exhibition Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139902303,"723/181 Exhibition Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/4794b48d02a7c242664fb876bbb8ef9a9d98c5bff9386ca2d8b9b19ad1a1c5b0/image.jpg,Apartment,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",525000,buy,"$510,000-$540,000"
"462 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140639051,"1206/462 Elizabeth Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/417a87d61ed33dcc83d22fd3210c17d8f14603536752d808de92427f6285f4f0/image.jpg,Apartment,-37.80783118,144.9604471,"(144.9604471, -37.807831182608695)",510000,buy,"$490,000 to $530,000"
"8 Exploration Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140031687,"2201/8 Exploration Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/45a7f235d98a8c0cd46a4de9e7bb039008d8cde640f8eff4f897440b7fc5b566/image.jpg,Apartment,-37.8092206,144.9684121,"(144.9684121, -37.8092206)",525000,buy,525000 
"181 Exhibition Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140637415,"1702/181 Exhibition Street, Melbourne, Vic 3000",3,3,2,0,https://i2.au.reastatic.net/{size}/5d77ca4f4d383173455c38594886ac37461dd66b195667c157fa42a1d7d84240/image.jpg,Apartment,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",1150000,buy,"$1,100,000 - $1,200,000"
"464 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140276415,"4502/464 Collins Street, Melbourne, Vic 3000",2,3,1,1,https://i2.au.reastatic.net/{size}/3b881f34c31b3db8712655525123e114d1113349cfbb46b02e5bd902a249348b/image.jpg,Apartment,-37.81751505,144.9586031,"(144.95860306822385, -37.81751505)",1500000,buy,"$1,450,000 - $1,550,000"
"380 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140163119,"2208/380 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/7832f87cce9ab86a964ec499e13e6c99e4c5bc50efa8597953c646bffdf786d5/image.jpg,Apartment,-37.8122724,144.9581821,"(144.9581821, -37.8122724)",339000,buy,"Private Sale $339,000"
"24-38 Little Bourke Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139902211,"41/24-38 Little Bourke Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0579a8afb35355302919e64074898759c5a63eaa5b5f4e319439d1bb36ae8746/image.jpg,Apartment,-37.8146843,144.9577761,"(144.9577761, -37.8146843)",390000,buy,390000 
"33 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140283495,"1112/33 Rose Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/cacfd20cc7bc27d89dcdc0180208bfc872d02f1d60aaa11037c5b155b88eec2c/image.jpg,Apartment,-37.8151054,144.9538211,"(144.95382108260804, -37.8151054)",2880000,buy,"$520,0000 - $560,000"
"31 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140025119,"1911/31 A'Beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/526ab8ef96f0e27cc44b88182833648cbdc5ec68efd9ce045f3977c3fc7385d9/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",310000,buy,"$300,000-$320,000"
