location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
639 lonsdale street,https://www.realestate.com.au/property-apartment-vic-melbourne-435433787,"2705/639 lonsdale street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/e1925c2b58dd3a44664b8ffa390d486e626f1dadf521707789f5ecfb24fe61a5/image.jpg,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",630 ,rent,Apartment
560 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435432899,"2809/560 Lonsdale Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/bed5824e481e4855fcd3e57e4c4f5d062a93ac40466570690a998ffe4ef1ae26/image.jpg,-37.8137367,144.9556294,"(144.95562942986624, -37.8137367)",940 ,rent,Apartment
200 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435432039,"3109/200 Spencer Street, Melbourne, Vic 3000",2,2,1,1,https://i2.au.reastatic.net/{size}/8e677a6ec68db3a7622a0ee74620f0d4bee9e7168e5ed43b4946fbf9d9572908/image.jpg,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",690 ,rent,Apartment
455 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431871,"1108/455 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/f1c8213dbddd5f71428ad1dc6a4740ad93e53eb791f9744ee4ee705a4a37fba7/image.jpg,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",500 ,rent,Apartment
268 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431619,"326/268 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ebf1ef0712cbe72f1b0352253ae9aa136344c37abddcc80277eac0dcd5af7dab/image.jpg,-37.8190295,144.9618007,"(144.9618007, -37.8190295)",300 ,rent,Apartment
8 Downie Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431347,"2709/8 Downie Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/b559b1c227940ca9559dab4ba52cc7eb54a3132f1ea58f45eabf048fd39b5ac6/image.jpg,-37.8199018,144.955577,"(144.955577, -37.8199018)",550 ,rent,Apartment
33-71 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431291,"217/33-71 Spencer Street, Melbourne, Vic 3000",1,2,1,0,https://i2.au.reastatic.net/{size}/dd834a49dca85a51c00b273c98720ad40689c1b05119718c6438c88c8ffd0c1b/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",550 ,rent,Apartment
220 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435430439,"303/220 Spencer Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/1fc4e2b2258dbbd6ab981553ab7251407afe5c48172f6b21543ecfb37cabe64c/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",575 ,rent,Apartment
65 Elizabeth Street,https://www.realestate.com.au/property-studio-vic-melbourne-435430331,"503/65 Elizabeth Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/f3513707f7a1e99668865a676c2809b9d45cba194d0f3330c7177f451faa8125/image.jpg,-37.8168759,144.964142,"(144.964142, -37.8168759)",320 ,rent,Studio
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435429043,"4405/228 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b567cf7b192b113645a0e266449f8e23c3a4bead0c3dda6fb722cb5be3a6de81/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",750 ,rent,Apartment
483 Swanston Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435428943,"1408/483 Swanston Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b9049233073073ecc1b7cdfd35e50a5cba86b4b9c7080689c33d9e8b71f2d50c/image.jpg,-37.8072155,144.962489,"(144.962489, -37.8072155)",520 ,rent,Apartment
60 Abeckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435428867,"3809/60 Abeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0886afee0c67af508b90a7eeaebffbd8cefc38fbf9868b8df449a6cb91b8c1ba/image.jpg,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",600 ,rent,Apartment
33 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435152691,"306/33 Rose Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/d4ea4ee100a4a295fa09a4aa06d79a62d29aec742fe2d16e993264927c25c5f8/image.jpg,-37.8151054,144.9538211,"(144.95382108260804, -37.8151054)",550 ,rent,Apartment
31 A'beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434737659,"1201/31 A'beckett Street, Melbourne, Vic 3000",2,1,1,1,https://i2.au.reastatic.net/{size}/478a44b54aa6a1adb74c0dea761a8492e03703e97abd20fe6495b543361e7820/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",525 ,rent,Apartment
