LGA_NAME,DAY_OF_WEE,Casualty,Day,Longitude,Latitude
ALPINE,Friday,61,Fri,147.0371073,-36.41301369
ALPINE,Monday,26,Mon,147.0371073,-36.41301369
ALPINE,Saturday,56,Sat,147.0371073,-36.41301369
ALPINE,Sunday,67,Sun,147.0371073,-36.41301369
ALPINE,Thursday,22,Thu,147.0371073,-36.41301369
ALPINE,Tuesday,27,Tue,147.0371073,-36.41301369
ALPINE,Wednesday,20,Wed,147.0371073,-36.41301369
ARARAT,Friday,37,Fri,142.8844702,-37.20501458
ARARAT,Monday,29,Mon,142.8844702,-37.20501458
ARARAT,Saturday,16,Sat,142.8844702,-37.20501458
ARARAT,Sunday,27,Sun,142.8844702,-37.20501458
ARARAT,Thursday,32,Thu,142.8844702,-37.20501458
ARARAT,Tuesday,22,Tue,142.8844702,-37.20501458
ARARAT,Wednesday,15,Wed,142.8844702,-37.20501458
BALLARAT,Friday,209,Fri,143.8575051,-37.56339464
BALLARAT,Monday,221,Mon,143.8575051,-37.56339464
BALLARAT,Saturday,124,Sat,143.8575051,-37.56339464
BALLARAT,Sunday,155,Sun,143.8575051,-37.56339464
BALLARAT,Thursday,231,Thu,143.8575051,-37.56339464
BALLARAT,Tuesday,222,Tue,143.8575051,-37.56339464
BALLARAT,Wednesday,196,Wed,143.8575051,-37.56339464
BANYULE,Friday,176,Fri,145.069526,-37.757163
BANYULE,Monday,157,Mon,145.069526,-37.757163
BANYULE,Saturday,86,Sat,145.069526,-37.757163
BANYULE,Sunday,105,Sun,145.069526,-37.757163
BANYULE,Thursday,172,Thu,145.069526,-37.757163
BANYULE,Tuesday,201,Tue,145.069526,-37.757163
BANYULE,Wednesday,174,Wed,145.069526,-37.757163
BASS COAST,Friday,60,Fri,145.2389662,-38.45485379
BASS COAST,Monday,62,Mon,145.2389662,-38.45485379
BASS COAST,Saturday,51,Sat,145.2389662,-38.45485379
BASS COAST,Sunday,70,Sun,145.2389662,-38.45485379
BASS COAST,Thursday,64,Thu,145.2389662,-38.45485379
BASS COAST,Tuesday,48,Tue,145.2389662,-38.45485379
BASS COAST,Wednesday,61,Wed,145.2389662,-38.45485379
BAW BAW,Friday,145,Fri,146.165036,-38.28783315
BAW BAW,Monday,119,Mon,146.165036,-38.28783315
BAW BAW,Saturday,151,Sat,146.165036,-38.28783315
BAW BAW,Sunday,185,Sun,146.165036,-38.28783315
BAW BAW,Thursday,112,Thu,146.165036,-38.28783315
BAW BAW,Tuesday,106,Tue,146.165036,-38.28783315
BAW BAW,Wednesday,93,Wed,146.165036,-38.28783315
BAYSIDE,Friday,147,Fri,144.9971902,-37.93608653
BAYSIDE,Monday,113,Mon,144.9971902,-37.93608653
BAYSIDE,Saturday,86,Sat,144.9971902,-37.93608653
BAYSIDE,Sunday,99,Sun,144.9971902,-37.93608653
BAYSIDE,Thursday,160,Thu,144.9971902,-37.93608653
BAYSIDE,Tuesday,116,Tue,144.9971902,-37.93608653
BAYSIDE,Wednesday,145,Wed,144.9971902,-37.93608653
BENALLA,Friday,47,Fri,146.1584428,-36.3062912
BENALLA,Monday,30,Mon,146.1584428,-36.3062912
BENALLA,Saturday,30,Sat,146.1584428,-36.3062912
BENALLA,Sunday,37,Sun,146.1584428,-36.3062912
BENALLA,Thursday,31,Thu,146.1584428,-36.3062912
BENALLA,Tuesday,25,Tue,146.1584428,-36.3062912
BENALLA,Wednesday,27,Wed,146.1584428,-36.3062912
BENDIGO,Friday,209,Fri,144.2635405,-36.75373965
BENDIGO,Monday,224,Mon,144.2635405,-36.75373965
BENDIGO,Saturday,148,Sat,144.2635405,-36.75373965
BENDIGO,Sunday,194,Sun,144.2635405,-36.75373965
BENDIGO,Thursday,221,Thu,144.2635405,-36.75373965
BENDIGO,Tuesday,210,Tue,144.2635405,-36.75373965
BENDIGO,Wednesday,189,Wed,144.2635405,-36.75373965
BOROONDARA,Friday,235,Fri,145.0527443,-37.79952672
BOROONDARA,Monday,235,Mon,145.0527443,-37.79952672
BOROONDARA,Saturday,119,Sat,145.0527443,-37.79952672
BOROONDARA,Sunday,144,Sun,145.0527443,-37.79952672
BOROONDARA,Thursday,259,Thu,145.0527443,-37.79952672
BOROONDARA,Tuesday,254,Tue,145.0527443,-37.79952672
BOROONDARA,Wednesday,265,Wed,145.0527443,-37.79952672
